"Parent ID number","ID number","Short name","Description","Description format","Scale values","Scale configuration","Rule type","Rule outcome","Rule config","Related ID numbers","Exported ID","Is framework","Taxonomy"
"","CSE5IDP-2026S2","CSE5IDP subject intended learning outcomes","Subject intended learning outcomes for CSE5IDP Industry Development Project, Semester 2 2026, La Trobe University. Source: Subject Learning Guide and La Trobe Handbook 2026.","1","[""Not yet demonstrated"",""Developing"",""Proficient"",""Highly proficient""]","[{""scaleid"":""0""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":0},{""id"":3,""scaledefault"":0,""proficient"":1},{""id"":4,""scaledefault"":0,""proficient"":1}]","","0","","","","1","outcome,indicator"
"CSE5IDP-2026S2","CSE5IDP-SILO1","SILO1 Manage project meetings and progress","Apply advanced skills and knowledge to effectively manage industry-based project meetings and progress.","1","","","core_competency\competency_rule_all","2","","","","0",""
"CSE5IDP-SILO1","CSE5IDP-SILO1.1","Facilitate agile ceremonies","Plan and run stand-ups, sprint planning, review and retrospective sessions that surface blockers early.","1","","","","0","","","","0",""
"CSE5IDP-SILO1","CSE5IDP-SILO1.2","Track and report progress","Maintain an accurate board and interpret burndown behaviour honestly, including explaining adverse trends.","1","","","","0","","","","0",""
"CSE5IDP-2026S2","CSE5IDP-SILO2","SILO2 Apply specifications and standards to design","Constructively consider specifications and the use of relevant standards to the design of software or network systems.","1","","","core_competency\competency_rule_all","2","","","","0",""
"CSE5IDP-SILO2","CSE5IDP-SILO2.1","Elicit and specify requirements","Decompose a project brief into user stories with positive and negative acceptance criteria, distinguishing user from system requirements.","1","","","","0","","","","0",""
"CSE5IDP-SILO2","CSE5IDP-SILO2.2","Quantify non-functional requirements","State and measure performance, security, portability and reliability requirements rather than asserting them.","1","","","","0","","","","0",""
"CSE5IDP-SILO2","CSE5IDP-SILO2.3","Apply a named security framework","Align design decisions to a recognised framework such as OWASP Top 10, ASD Essential Eight or ISO 27001.","1","","","","0","","","","0",""
"CSE5IDP-2026S2","CSE5IDP-SILO3","SILO3 Develop prototypes using AGILE","Develop and implement product prototypes following industry standard AGILE project methodologies.","1","","","core_competency\competency_rule_all","2","","","","0",""
"CSE5IDP-SILO3","CSE5IDP-SILO3.1","Version control discipline","Work in a shared repository with meaningful commit history, branching and no out-of-band code transfer.","1","","","","0","","","","0",""
"CSE5IDP-SILO3","CSE5IDP-SILO3.2","Deliver working increments","Produce functioning, signed-off componentry each sprint rather than deferring integration.","1","","","","0","","","","0",""
"CSE5IDP-SILO3","CSE5IDP-SILO3.3","Test-driven development","Derive test cases from acceptance criteria before implementation and automate their execution.","1","","","","0","","","","0",""
"CSE5IDP-2026S2","CSE5IDP-SILO4","SILO4 Produce professional documentation","Produce professional quality documentation to clearly articulate industry relevant outcomes.","1","","","core_competency\competency_rule_all","2","","CSE5IDP-SILO5","","0",""
"CSE5IDP-SILO4","CSE5IDP-SILO4.1","Technical reporting","Write system design and implementation reports that a reader outside the team can act on.","1","","","","0","","","","0",""
"CSE5IDP-SILO4","CSE5IDP-SILO4.2","Handover documentation","Produce a repository README, maintenance document and user guide sufficient for the project owner to run and maintain the system unaided.","1","","","","0","","","","0",""
"CSE5IDP-2026S2","CSE5IDP-SILO5","SILO5 Communicate outcomes orally","Use professional oral communication skills to effectively convey industry applicable outcomes to expert and non-expert audiences.","1","","","core_competency\competency_rule_all","2","","CSE5IDP-SILO4","","0",""
"CSE5IDP-SILO5","CSE5IDP-SILO5.1","Present to a non-expert audience","Explain the product and its value to visitors without domain knowledge, as at the trade show.","1","","","","0","","","","0",""
"CSE5IDP-SILO5","CSE5IDP-SILO5.2","Present to an expert audience","Justify technical decisions and defend design trade-offs under questioning from the project owner and supervisor.","1","","","","0","","","","0",""
