competency_label,subject_code,silo_local_id,rationale,flagged,flag_reason
Data Structures and Algorithms,CSE1OOF,SILO2,"Includes identifying, implementing, comparing, and evaluating data structures and algorithms (e.g., CSE1OOF SILO2 on abstract data types; CSE2ALG SILO2-5 on identifying, implementing, and applying algorithms), spanning CSE1OOF and CSE2ALG.",False,
Data Structures and Algorithms,CSE2ALG,SILO1,"Includes identifying, implementing, comparing, and evaluating data structures and algorithms (e.g., CSE1OOF SILO2 on abstract data types; CSE2ALG SILO2-5 on identifying, implementing, and applying algorithms), spanning CSE1OOF and CSE2ALG.",True,"vague, does not specify a specific skill or knowledge area"
Data Structures and Algorithms,CSE2ALG,SILO2,"Includes identifying, implementing, comparing, and evaluating data structures and algorithms (e.g., CSE1OOF SILO2 on abstract data types; CSE2ALG SILO2-5 on identifying, implementing, and applying algorithms), spanning CSE1OOF and CSE2ALG.",False,
Data Structures and Algorithms,CSE2ALG,SILO3,"Includes identifying, implementing, comparing, and evaluating data structures and algorithms (e.g., CSE1OOF SILO2 on abstract data types; CSE2ALG SILO2-5 on identifying, implementing, and applying algorithms), spanning CSE1OOF and CSE2ALG.",False,
Data Structures and Algorithms,CSE2ALG,SILO4,"Includes identifying, implementing, comparing, and evaluating data structures and algorithms (e.g., CSE1OOF SILO2 on abstract data types; CSE2ALG SILO2-5 on identifying, implementing, and applying algorithms), spanning CSE1OOF and CSE2ALG.",False,
Data Structures and Algorithms,CSE2ALG,SILO5,"Includes identifying, implementing, comparing, and evaluating data structures and algorithms (e.g., CSE1OOF SILO2 on abstract data types; CSE2ALG SILO2-5 on identifying, implementing, and applying algorithms), spanning CSE1OOF and CSE2ALG.",False,
Object-Oriented Design and Implementation,CSE1OOF,SILO1,"No equivalent outcome found in the other subjects; includes analysis, design, and implementation of object-oriented systems (e.g., CSE1OOF SILO1, 3, 4 on OOP modelling and code reuse).",False,
Object-Oriented Design and Implementation,CSE1OOF,SILO3,"No equivalent outcome found in the other subjects; includes analysis, design, and implementation of object-oriented systems (e.g., CSE1OOF SILO1, 3, 4 on OOP modelling and code reuse).",False,
Object-Oriented Design and Implementation,CSE1OOF,SILO4,"No equivalent outcome found in the other subjects; includes analysis, design, and implementation of object-oriented systems (e.g., CSE1OOF SILO1, 3, 4 on OOP modelling and code reuse).",False,
Technical Communication and Documentation,CSE3CAP,SILO3,"No equivalent outcome found in the other subjects; includes reporting outcomes to diverse audiences and professional system documentation (e.g., CSE3CAP SILO3 and SILO4).",False,
Technical Communication and Documentation,CSE3CAP,SILO4,"No equivalent outcome found in the other subjects; includes reporting outcomes to diverse audiences and professional system documentation (e.g., CSE3CAP SILO3 and SILO4).",False,
Project Management,CSE3CAP,SILO1,No equivalent outcome found in the other subjects; includes advanced project management during substantive development implementation (CSE3CAP SILO1).,False,
Industry Standards Application,CSE3CAP,SILO2,No equivalent outcome found in the other subjects; includes applying industry standards to technical solutions (CSE3CAP SILO2).,True,"vague, lacks specific assessment criteria"

subject_code,silo_local_id,text
CSE1OOF,SILO1,analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour
CSE1OOF,SILO2,abstract data types and encapsulation to localise and minimise change
CSE1OOF,SILO3,code sharing and reuse through object-oriented techniques to reduce development time
CSE1OOF,SILO4,object-oriented design and implementation of computer programs for real-life problems
CSE2ALG,SILO1,overall objectives of Algorithms and Data Structures
CSE2ALG,SILO2,identifying data structures and searching and sorting algorithms in computing contexts
CSE2ALG,SILO3,implementing data structures and searching and sorting algorithms in Java
CSE2ALG,SILO4,comparing algorithms and data structures and applying suitable choices to problems
CSE2ALG,SILO5,"designing, implementing, and evaluating Java solutions using appropriate performance measures"
CSE3CAP,SILO1,advanced project management during substantive development implementation
CSE3CAP,SILO2,industry standard technical solutions in software or cybersecurity practice
CSE3CAP,SILO3,reporting project outcomes to technical and non-technical audiences and reflecting on feedback
CSE3CAP,SILO4,professional system documentation and advanced technical reporting to industry standards
