student_id,competency_label,attainment_pct,subjects_evidencing,n_observations,classification,classification_basis,relative_position
STU0001,Object-Oriented Design and Implementation,50.3,1,8,developing,insufficient data,
STU0001,Data Structures and Algorithms,50.7,2,15,developing,insufficient data,
STU0001,Technical Communication and Documentation,49.7,1,3,isolated gap,absolute floor,
STU0001,Industry Standards Application,48.0,1,2,isolated gap,absolute floor,
STU0001,Project Management,46.0,1,1,isolated gap,absolute floor,
STU0002,Object-Oriented Design and Implementation,71.3,1,8,proficient,relative position,1.08
STU0002,Data Structures and Algorithms,71.0,2,15,proficient,relative position,1.0
STU0002,Technical Communication and Documentation,67.2,1,3,developing,relative position,0.0
STU0002,Industry Standards Application,66.0,1,2,developing,relative position,-0.3
STU0002,Project Management,63.0,1,1,isolated gap,relative position,-1.08
STU0003,Object-Oriented Design and Implementation,62.7,1,8,isolated gap,relative position,-2.29
STU0003,Data Structures and Algorithms,63.7,2,15,persistent gap,relative position,-1.28
STU0003,Technical Communication and Documentation,65.1,1,3,developing,relative position,0.08
STU0003,Industry Standards Application,65.0,1,2,developing,relative position,0.0
STU0003,Project Management,66.0,1,1,proficient,relative position,1.0
STU0004,Object-Oriented Design and Implementation,53.4,1,8,developing,relative position,-0.22
STU0004,Data Structures and Algorithms,48.9,2,15,persistent gap,absolute floor,
STU0004,Technical Communication and Documentation,53.8,1,3,developing,relative position,0.0
STU0004,Industry Standards Application,56.0,1,2,proficient,relative position,1.0
STU0004,Project Management,56.0,1,1,proficient,relative position,1.0
STU0005,Object-Oriented Design and Implementation,73.5,1,8,proficient,insufficient data,
STU0005,Data Structures and Algorithms,73.8,2,15,proficient,insufficient data,
STU0005,Technical Communication and Documentation,73.1,1,3,proficient,insufficient data,
STU0005,Industry Standards Application,74.5,1,2,proficient,insufficient data,
STU0005,Project Management,75.0,1,1,proficient,absolute ceiling,
STU0006,Object-Oriented Design and Implementation,74.3,1,8,proficient,insufficient data,
STU0006,Data Structures and Algorithms,73.4,2,15,proficient,insufficient data,
STU0006,Technical Communication and Documentation,74.8,1,3,proficient,insufficient data,
STU0006,Industry Standards Application,75.5,1,2,proficient,absolute ceiling,
STU0006,Project Management,75.0,1,1,proficient,absolute ceiling,
STU0007,Object-Oriented Design and Implementation,52.4,1,8,developing,insufficient data,
STU0007,Data Structures and Algorithms,55.3,2,15,developing,insufficient data,
STU0007,Technical Communication and Documentation,51.5,1,3,developing,insufficient data,
STU0007,Industry Standards Application,52.5,1,2,developing,insufficient data,
STU0007,Project Management,53.0,1,1,developing,insufficient data,
